0:0:0:0:0:0:0:1 - - [25/May/2020:16:52:00 +0300] "GET /ogretim/ HTTP/1.1" 200 783
0:0:0:0:0:0:0:1 - - [25/May/2020:16:52:00 +0300] "GET /ogretim/ HTTP/1.1" 200 783
0:0:0:0:0:0:0:1 - - [25/May/2020:16:52:00 +0300] "GET /ogretim/ HTTP/1.1" 200 783
0:0:0:0:0:0:0:1 - - [25/May/2020:16:52:31 +0300] "GET /ogretim/ HTTP/1.1" 200 804
0:0:0:0:0:0:0:1 - - [25/May/2020:16:52:31 +0300] "GET /ogretim/ HTTP/1.1" 200 804
0:0:0:0:0:0:0:1 - - [25/May/2020:16:52:32 +0300] "GET /ogretim/ HTTP/1.1" 200 804
0:0:0:0:0:0:0:1 - - [25/May/2020:16:52:32 +0300] "GET /ogretim/ HTTP/1.1" 200 804
0:0:0:0:0:0:0:1 - - [25/May/2020:16:52:32 +0300] "GET /ogretim/ HTTP/1.1" 200 804
0:0:0:0:0:0:0:1 - - [25/May/2020:16:52:32 +0300] "GET /ogretim/ HTTP/1.1" 200 804
0:0:0:0:0:0:0:1 - - [25/May/2020:16:52:53 +0300] "GET /ogretim/ HTTP/1.1" 200 797
0:0:0:0:0:0:0:1 - - [25/May/2020:16:53:06 +0300] "GET /ogretim/ HTTP/1.1" 200 783
0:0:0:0:0:0:0:1 - - [25/May/2020:16:53:06 +0300] "GET /ogretim/ HTTP/1.1" 200 783
0:0:0:0:0:0:0:1 - - [25/May/2020:16:53:06 +0300] "GET /ogretim/ HTTP/1.1" 200 783
0:0:0:0:0:0:0:1 - - [25/May/2020:16:53:07 +0300] "GET /ogretim/ HTTP/1.1" 200 783
0:0:0:0:0:0:0:1 - - [25/May/2020:16:53:07 +0300] "GET /ogretim/ HTTP/1.1" 200 783
0:0:0:0:0:0:0:1 - - [25/May/2020:16:53:07 +0300] "GET /ogretim/ HTTP/1.1" 200 783
0:0:0:0:0:0:0:1 - - [25/May/2020:16:53:07 +0300] "GET /ogretim/ HTTP/1.1" 200 783
0:0:0:0:0:0:0:1 - - [25/May/2020:16:53:20 +0300] "GET /ogretim/ HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [25/May/2020:16:53:31 +0300] "GET /ogretim/ HTTP/1.1" 200 804
0:0:0:0:0:0:0:1 - - [25/May/2020:16:53:39 +0300] "GET /ogretim/ HTTP/1.1" 200 809
0:0:0:0:0:0:0:1 - - [25/May/2020:17:03:16 +0300] "GET /ogretim/ HTTP/1.1" 200 843
0:0:0:0:0:0:0:1 - - [25/May/2020:17:03:31 +0300] "GET /ogretim/ HTTP/1.1" 200 854
0:0:0:0:0:0:0:1 - - [25/May/2020:17:03:37 +0300] "GET /ogretim/ HTTP/1.1" 200 853
0:0:0:0:0:0:0:1 - - [25/May/2020:17:04:24 +0300] "GET /ogretim/ HTTP/1.1" 200 879
0:0:0:0:0:0:0:1 - - [25/May/2020:17:04:34 +0300] "GET /ogretim/ HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [25/May/2020:17:04:43 +0300] "GET /ogretim/ HTTP/1.1" 200 889
0:0:0:0:0:0:0:1 - - [25/May/2020:17:04:56 +0300] "GET /ogretim/ HTTP/1.1" 200 889
0:0:0:0:0:0:0:1 - - [25/May/2020:17:05:10 +0300] "GET /ogretim/ HTTP/1.1" 200 867
0:0:0:0:0:0:0:1 - - [25/May/2020:17:05:11 +0300] "GET /ogretim/ HTTP/1.1" 200 867
0:0:0:0:0:0:0:1 - - [25/May/2020:17:05:11 +0300] "GET /ogretim/ HTTP/1.1" 200 867
0:0:0:0:0:0:0:1 - - [25/May/2020:17:05:11 +0300] "GET /ogretim/ HTTP/1.1" 200 867
0:0:0:0:0:0:0:1 - - [25/May/2020:17:05:11 +0300] "GET /ogretim/ HTTP/1.1" 200 867
0:0:0:0:0:0:0:1 - - [25/May/2020:17:05:11 +0300] "GET /ogretim/ HTTP/1.1" 200 867
0:0:0:0:0:0:0:1 - - [25/May/2020:17:05:11 +0300] "GET /ogretim/ HTTP/1.1" 200 867
0:0:0:0:0:0:0:1 - - [25/May/2020:17:05:12 +0300] "GET /ogretim/ HTTP/1.1" 200 867
